question,ground_truth,contexts,evolution_type
"Vì sao chiến lược RAG trong đoạn này giúp giảm hallucination: # Attention (machine learning)

Source: https://en.wikipedia.org/wiki/Attention_(machine_learning)

In machine learning,?","# Attention (machine learning)

Source: https://en.wikipedia.org/wiki/Attention_(machine_learning)

In machine learning, attention is a method that determines the importance of each component in a sequence relative to the other components in that sequence","[""# Attention (machine learning)\n\nSource: https://en.wikipedia.org/wiki/Attention_(machine_learning)\n\nIn machine learning, attention is a method that determines the importance of each component in a sequence relative to the other components in that sequence""]",reasoning
"Tóm tắt ý chính của đoạn sau: # Neural network (machine learning)

Source: https://en.wikipedia.org/wiki/Neural_network_(machine_learning)

In machine?","# Neural network (machine learning)

Source: https://en.wikipedia.org/wiki/Neural_network_(machine_learning)

In machine learning, a neural network (NN) or neural net, also known as an artificial neural network (ANN), is a computational model inspired by the structure and functions of biological neural networks","[""# Neural network (machine learning)\n\nSource: https://en.wikipedia.org/wiki/Neural_network_(machine_learning)\n\nIn machine learning, a neural network (NN) or neural net, also known as an artificial neural network (ANN), is a computational model inspired by the structure and functions of biological neural networks""]",simple
"Tóm tắt ý chính của đoạn sau: # Attention (machine learning)

Source: https://en.wikipedia.org/wiki/Attention_(machine_learning)

In machine learning,?","# Attention (machine learning)

Source: https://en.wikipedia.org/wiki/Attention_(machine_learning)

In machine learning, attention is a method that determines the importance of each component in a sequence relative to the other components in that sequence","[""# Attention (machine learning)\n\nSource: https://en.wikipedia.org/wiki/Attention_(machine_learning)\n\nIn machine learning, attention is a method that determines the importance of each component in a sequence relative to the other components in that sequence""]",simple
"Tóm tắt ý chính của đoạn sau: # Quantum machine learning

Source: https://en.wikipedia.org/wiki/Quantum_machine_learning

Quantum machine learning (QM?","# Quantum machine learning

Source: https://en.wikipedia.org/wiki/Quantum_machine_learning

Quantum machine learning (QML) is the study of quantum algorithms for machine learning","[""# Quantum machine learning\n\nSource: https://en.wikipedia.org/wiki/Quantum_machine_learning\n\nQuantum machine learning (QML) is the study of quantum algorithms for machine learning""]",simple
"Tóm tắt ý chính của đoạn sau: # Quantum machine learning

Source: https://en.wikipedia.org/wiki/Quantum_machine_learning

Quantum machine learning (QM?","# Quantum machine learning

Source: https://en.wikipedia.org/wiki/Quantum_machine_learning

Quantum machine learning (QML) is the study of quantum algorithms for machine learning","[""# Quantum machine learning\n\nSource: https://en.wikipedia.org/wiki/Quantum_machine_learning\n\nQuantum machine learning (QML) is the study of quantum algorithms for machine learning""]",simple
"Kết hợp hai ý sau để đưa ra kết luận ngắn: (1) Artificial Intelligence

Source: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligenc ; (2) # Artificial intelligence

Source: https://en.wikipedia.org/wiki/Artificial_intelligence

","Artificial Intelligence

Source: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence

A.I # Artificial intelligence

Source: https://en.wikipedia.org/wiki/Artificial_intelligence

Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making","[""Artificial Intelligence\n\nSource: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence\n\nA.I"", ""# Artificial intelligence\n\nSource: https://en.wikipedia.org/wiki/Artificial_intelligence\n\nArtificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making""]",multi_context
"Vì sao chiến lược RAG trong đoạn này giúp giảm hallucination: # History of artificial intelligence

Source: https://en.wikipedia.org/wiki/History_of_artificial_intelligence

The hist?","# History of artificial intelligence

Source: https://en.wikipedia.org/wiki/History_of_artificial_intelligence

The history of artificial intelligence (AI) began in antiquity, with myths, stories, and rumors of artificial beings endowed with intelligence or consciousness by master craftsmen","[""# History of artificial intelligence\n\nSource: https://en.wikipedia.org/wiki/History_of_artificial_intelligence\n\nThe history of artificial intelligence (AI) began in antiquity, with myths, stories, and rumors of artificial beings endowed with intelligence or consciousness by master craftsmen""]",reasoning
"Tóm tắt ý chính của đoạn sau: Artificial Intelligence

Source: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence

A.I?","Artificial Intelligence

Source: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence

A.I","[""Artificial Intelligence\n\nSource: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence\n\nA.I""]",simple
"Vì sao chiến lược RAG trong đoạn này giúp giảm hallucination: Artificial Intelligence

Source: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence

A.I?","Artificial Intelligence

Source: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence

A.I","[""Artificial Intelligence\n\nSource: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence\n\nA.I""]",reasoning
"Tóm tắt ý chính của đoạn sau: # Glossary of artificial intelligence

Source: https://en.wikipedia.org/wiki/Glossary_of_artificial_intelligence

This g?","# Glossary of artificial intelligence

Source: https://en.wikipedia.org/wiki/Glossary_of_artificial_intelligence

This glossary of artificial intelligence is a list of definitions of terms and concepts relevant to the study of artificial intelligence (AI), its subdisciplines, and related fields","[""# Glossary of artificial intelligence\n\nSource: https://en.wikipedia.org/wiki/Glossary_of_artificial_intelligence\n\nThis glossary of artificial intelligence is a list of definitions of terms and concepts relevant to the study of artificial intelligence (AI), its subdisciplines, and related fields""]",simple
"Vì sao chiến lược RAG trong đoạn này giúp giảm hallucination: # Machine learning

Source: https://en.wikipedia.org/wiki/Machine_learning

Machine learning (ML) is a field of study in?","# Machine learning

Source: https://en.wikipedia.org/wiki/Machine_learning

Machine learning (ML) is a field of study in artificial intelligence concerned with the development and study of statistical algorithms that can learn from data and generalize to unseen data, and thus perform tasks without being explicitly programmed","[""# Machine learning\n\nSource: https://en.wikipedia.org/wiki/Machine_learning\n\nMachine learning (ML) is a field of study in artificial intelligence concerned with the development and study of statistical algorithms that can learn from data and generalize to unseen data, and thus perform tasks without being explicitly programmed""]",reasoning
"Tóm tắt ý chính của đoạn sau: # Machine learning

Source: https://en.wikipedia.org/wiki/Machine_learning

Machine learning (ML) is a field of study in?","# Machine learning

Source: https://en.wikipedia.org/wiki/Machine_learning

Machine learning (ML) is a field of study in artificial intelligence concerned with the development and study of statistical algorithms that can learn from data and generalize to unseen data, and thus perform tasks without being explicitly programmed","[""# Machine learning\n\nSource: https://en.wikipedia.org/wiki/Machine_learning\n\nMachine learning (ML) is a field of study in artificial intelligence concerned with the development and study of statistical algorithms that can learn from data and generalize to unseen data, and thus perform tasks without being explicitly programmed""]",simple
"Tóm tắt ý chính của đoạn sau: # History of artificial intelligence

Source: https://en.wikipedia.org/wiki/History_of_artificial_intelligence

The hist?","# History of artificial intelligence

Source: https://en.wikipedia.org/wiki/History_of_artificial_intelligence

The history of artificial intelligence (AI) began in antiquity, with myths, stories, and rumors of artificial beings endowed with intelligence or consciousness by master craftsmen","[""# History of artificial intelligence\n\nSource: https://en.wikipedia.org/wiki/History_of_artificial_intelligence\n\nThe history of artificial intelligence (AI) began in antiquity, with myths, stories, and rumors of artificial beings endowed with intelligence or consciousness by master craftsmen""]",simple
"Tóm tắt ý chính của đoạn sau: Artificial Intelligence

Source: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence

A.I?","Artificial Intelligence

Source: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence

A.I","[""Artificial Intelligence\n\nSource: https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence\n\nA.I""]",simple
